id	sentence	e1_mention	e2_mention	relation
342661429	PKB directly phosphorylates DAF-16 / FOXO and this results in nuclear exclusion and therefore reduced DAF-16 / FOXO transcriptional activity    ,    .	[phosphorylates | Positive_regulation]	[reduced | Negative_activation]	E1 precedes E2
478809004	PKB directly phosphorylates DAF-16 / FOXO and this results in nuclear exclusion and therefore reduced DAF-16 / FOXO transcriptional activity    ,    .	[directly | Positive_regulation]	[reduced | Negative_activation]	E1 precedes E2
-1724733018	SUV39H1 interacts with Tax1 and represses Tax1 mediated transactivation of the LTR .	[interacts | Binding]	[represses | Negative_activation]	E1 precedes E2
367894392	IKKalpha then phosphorylates the C-terminal region of p100 leading to subsequent processing of the p100 and RelB complex into p52 and RelB and its translocation into the nucleus .	[phosphorylates | Positive_regulation]	[complex | Binding]	E1 precedes E2
-1749812051	After binding of an agonist , the activated GPCR induces an exchange of GDP to GTP on the Galpha subunit and facilitates the dissociation of GTP bound Gbetagamma and Galpha subunits .	[induces | Positive_activation]	[bound | Binding]	E1 precedes E2
-1279835872	RASSF1A induces apoptosis through its interaction with Ras , the Ras effector NORE1 , the connector enhancer of KSR ( CNK1 ) , the pro-apoptotic kinase MST1 , and the modulator of apoptosis-1 ( MAP-1 ; activated K-Ras , RASSF1A , and MAP-1 synergize to induce Bax activation and cell death ) .	[induces | Positive_activation]	[interaction | Binding]	E2 precedes E1
334217403	We next studied the effect of these growth factors on the tyrosine phosphorylation of Gab1 and its binding to SHP-2 .  EGF , but not IGF or PDGF , led to both increased tyrosine phosphorylation of Gab1 and binding to SHP-2 (       b ) , suggesting a selective effect of EGF on Ras and MAPK activation mediated by Gab1 and SHP-2 .	[binding | Binding]	[led | Positive_regulation]	E2 precedes E1
-159269123	However , for directional movement , the turnover of stress fibers and focal adhesions to produce an elongate morphology was dependent on the constitutive association between Ras-GAP and p190 , independent of Ras regulation .  Disruption of the phosphotyrosine mediated Ras-GAP and p190 complex by microinjecting synthetic peptides derived from p190 sequences in wild-type cells caused a suppression of actin filament reorientation and migration .	[association | Binding]	[mediated | Positive_regulation]	E2 precedes E1
369415357	This Ras-GAP and p190 complex may function together to regulate actin cytoskeletal dynamics .  Over-expression of the NH 2  terminus of Ras-GAP in RAT-2 cells induced abnormal actin SFs and decreased cell substratum adhesion and this correlated with increased in vitro Rho GAP activity compared with untransfected cells .	[complex | Binding]	[decreased | Negative_activation]	E1 precedes E2
-1135751133	The scaffolding protein KSR constitutively binds to MEK .  In response to mitogenic stimulation , the KSR and MEK complex is recruited from the cytosol to the cell membrane , where it can now interact with activated Raf-1 and ERK to facilitate the signal flux through the kinase module Raf -- > MEK -- > ERK .	[binds | Binding]	[interact | Binding]	E1 precedes E2
-238375576	Lin et al. showed that GSK3beta interacts with DNMT1 to phosphorylate DNMT1 at Ser410 and Ser414 and promotes binding of DNMT1 by betaTrCP leading to proteasomal degradation of DNMT1 .	[interacts | Binding]	[phosphorylate | Positive_regulation]	E1 precedes E2
-180810510	Silencing of HIPK2 significantly reduced K382-p53 acetylation , impaired recruitment of p53 and p300 to apoptotic gene promoters , and decreased p53 apoptotic transcription .	[reduced | Negative_regulation]	[recruitment | Binding]	E1 precedes E2
-1133026725	We and another group reported that GSK3 interacts with and phosphorylates Mcl-1 at S155 , S159 , and T163 ( Maurer et al. ,     ; Ding et al. ,     ) .	[phosphorylates | Positive_regulation]	[interacts | Binding]	E2 precedes E1
99055352	In C. elegans , the cdc-25 phosphatase has four members ( CDC-25 .1 -4 ) , and dephosphorylates cyclin and CDK complexes that have been phosphorylated ( and inactivated ) by the Wee1 and Myt kinase homolog , WEE-1 .3    .	[complexes | Binding]	[phosphorylated | Positive_regulation]	E1 precedes E2
1971640027	GTP loaded RAS then triggers the sequential activation of RAF , MEK , and MAPK ; active RAF phosphorylates and activates MEK , which in turn phosphorylates and activates MAPK    .	[triggers | Positive_activation]	[phosphorylates | Positive_regulation]	E1 precedes E2
1485373583	When GSK-3 is bound to GBP , GSK-3 can not bind Axin and thus GSK-3 does not phosphorylate beta-catenin .	[bind | Binding]	[phosphorylate | Positive_regulation]	E1 precedes E2
-1814910813	AMPK directly phosphorylates Raptor in an LKB1 dependent manner leading to the binding of 14-3-3 proteins to Raptor and subsequent inhibition of mTORC1 .	[phosphorylates | Positive_regulation]	[binding | Binding]	E1 precedes E2
1973070471	GTP bound RRAS binds to RAF1     , recruiting it to the plasma membrane and likely stimulating its activation through phosphorylation at S338 mediated by PAK proteins     .	[bound | Binding]	[binds | Binding]	E1 precedes E2
-562742695	The activated RI phosphorylates intracellular Smad2 and Smad3 , which then interact with Smad4 protein to form an oligomeric complex .	[phosphorylates | Positive_regulation]	[interact | Binding]	E1 precedes E2
-1232660074	ASPP2 binds active RAS at the plasma membrane , thereby increasing RAS signaling to its downstream pathway effectors Raf and MAPK .	[binds | Binding]	[increasing | Positive_activation]	E1 precedes E2
577960330	The cellularly abundant GTP displaces the wt Ras bound Cdc25 to produce the GTP bound wt Ras .	[bound | Binding]	[bound | Binding]	E1 precedes E2
-97527846	beta-catenin is phosphorylated by GSK3beta and is subsequently degraded by the proteasome .	[phosphorylated | Positive_regulation]	[degraded | Negative_regulation]	E1 precedes E2
1085148375	mTOR phosphorylates and activates the translational machinery proteins : eukaryotic translation initiation factor 4E- ( eIF-4E - ) binding protein ( 4E-BP1 ) and p70 S6 kinase .  Upon phosphorylation , 4E-BP1 no longer interacts with and represses eIF-4E , and p70 S6  phosphorylates and activates the 40 S ribosomal protein .	[activates | Positive_regulation]	[phosphorylates | Positive_regulation]	E2 precedes E1
-905067963	The methyltransferase Set7 and 9 interacts with and methylates SIRT1 at Lys233 , Lys235 , Lys236 , and Lys238 of the N-terminal extension .	[interacts | Binding]	[methylates | Positive_regulation]	E1 precedes E2
2092605919	For example , EZH2 interacts with and methylates STAT3 , resulting in increased tyrosine phosphorylation and activation of STAT3 .	[methylates | Positive_regulation]	[increased | Positive_regulation]	E1 precedes E2
351508534	In addition , PI3K interacts with Ras and is directly activated by Ras binding to p110 [  -  ] .	[interacts | Binding]	[directly activated | Positive_regulation]	E1 precedes E2
-310328133	The p53 pathway is generally activated by DNA damage , which results in phosphorylation of p53 by ATM or CHK2 at sites near MDM2 and MDM4 binding .	[activated | Positive_activation]	[results | Positive_regulation]	E1 precedes E2
1860167093	Indeed , the inhibition of PI3K induces S159 phosphorylation of Mcl-1 and subsequent ubiquitination and degradation of Mcl-1 , which are blocked by GSK3 inhibition ( Maurer et al. ,     ) .	[induces | Negative_regulation]	[blocked | Positive_regulation]	E1 precedes E2
-664061803	Further insight for the involved mechanism was provided by the finding that p53 Lys382 acetylation requires previous phosphorylation of p53 at Ser46 by the kinase homeodomain interacting protein kinase 2 ( HIPK2 ) 2 ( Hofmann et al. ,     ) .	[requires | Positive_regulation]	[phosphorylation | Positive_regulation]	E2 precedes E1
-505733786	We therefore hypothesize that RbAp46 forms a complex with HDAC1 and then binds with Sp1 to regulate RECK expression via the Sp1 site of the promoter .	[forms a complex | Binding]	[binds | Binding]	E1 precedes E2
2104146026	Upon stimulation , IkappaB is phosphorylated by the IkappaB kinase ( IKK ) complex and is then degraded by the ubiquitin-proteasome system .	[phosphorylated | Positive_regulation]	[degraded | Negative_regulation]	E1 precedes E2
