id	sentence	e1_mention	e2_mention	relation
466_TL53	 Problem List : CV - Ischemia ASA , lisinopril Pump no evidence of failure Rhythm Resp - COPD flare - steroids , cont prednisone 60 , taper slowly as tolerated , duonebs , advair , singulair , spiriva , claritin azithromycin for atypical bronchitis to complete a 5 day course , keep o2 sat 90-94 , home nocturnal CPAP not tolerated in house , does well on nc , appears ato be at baseline Renal - Cr 0.8 , stress incontinence by symptoms with increased cough , no evidence of uti , cont to closely monitor GI - Bowel regimen Heme - Chronic Fe deficiency anemia , cont iron Endo - DM on insulin with steroids ID - afebrile , no wbc , started on Azithromycin for COPD flare FEN - ADA diet PPx - Lovenox , PPI Dispo - to rehab when resp status improved , PT consulted Code - FC ADDITIONAL COMMENTS : DISCHARGE CONDITION : Stable TO DO / PLAN : f / u with PCP and Dr.	[steroids | TREATMENT]	[flare | PROBLEM]	After
78_TL263	 On the 16th , a urine culture was obtained and did grow out greater than 100,000 colonies of E. On 01-08 , the patient 's central venous line was discontinued .	[the 16th | DATE]	[01-08 | DATE]	After
611_SECTIME73	 Once her liver enzymes are completely normal , a seven day course of Fluconazol may be helpful if the thrush is not spontaneously resolving off of antibiotics .ADMISSION DATE : 11/3/92 DISCHARGE DATE : 12/6/92 HISTORY OF PRESENT ILLNESS : The patient is a 68 year old , right handed caucasian female , former R.	[normal | OCCURRENCE]	[12/6/92 | DATE]	After
812_SECTIME151	 Pt was note started on ASA as she does not tolerate this well , BB was also not started given SBPs in the 110s . Diff B toxin came back negative on 2019-01-10 .	[BB | TREATMENT]	[2019-01-10 | DATE]	After
742_TL38	 Transferred to the CSRU in stable condition on phenylephrine and propofol drips 	[the CSRU | CLINICAL_DEPT]	[Transferred | OCCURRENCE]	After
23_Sectime17	 Later patient told CMED CCU that she was feeling down and impulsively ingested 5 days worth of medications , she states that her intent at that time was to end her life .Admission Date : 2014-04-23 Discharge Date : 2014-04-28 Service : MEDICINE History of Present Illness : HPI : Ms.	[told | EVIDENTIAL]	[2014-04-23 | DATE]	After
657_TL101	 However , the epidural had the consequence of causing a bit of a hypotension in the patient and the patient was admitted to the Surgical ICU for the first postoperative day . Briefly , the surgery on 2014-07-29 revealed a carcinoma of the gallbladder with a cholecystocolonic fistula which crossed into the liver as well as metastatic adenopathy around the portal nodes as well as retroperitoneal nodes around the inferior vena cava and the hepatic artery .	[admitted | OCCURRENCE]	[the surgery | TREATMENT]	After
526_TL144	 Rheumatology recommended a taper of his prednisone to 20 mg q. The oncology service was also consulted for patient and performed a bone marrow biopsy .	[a taper of his prednisone | TREATMENT]	[consulted | OCCURRENCE]	After
777_TL34	 Then referred to ER for Tx Brief Hospital Course : Pt admitted 05-24 from ER after positive RUE DVT finding in vascular lab 	[admitted | OCCURRENCE]	[positive RUE DVT | PROBLEM]	After
31_TL60	 He has had no fevers or chills . On 2/22/00 , the patient had fevers to 103.	[fevers | PROBLEM]	[2/22/00 | DATE]	After
222_TL74	 Ddx : cardiac ischemia ( no ischemic EKG changes noted ), seizure w/ post-ictal state , CVA ( head CT neg ).Admission Date : 2012-03-23 Discharge Date : 2012-03-26 Service : MEDICINE History of Present Illness : 39 year old male w/ h/o low back pain on chronic narcotics presents after being found unresponsive at home .	[head CT | TEST]	[Admission | OCCURRENCE]	After
221_TL52	 qhs and is to followup with Anticoagulation Clinic in one week for further pro time checks and adjustments .ADMISSION DATE : 09/21/92 DISCHARGE DATE : 09/24/92 DISCHARGE DATE : 09/24/92 HISTORY OF PRESENT ILLNESS : The patient is a seventy-one year old white female with stenotic area on her mid sigmoid , noticed on barium enema .	[one week | DURATION]	[DISCHARGE | OCCURRENCE]	After
792_TL3	 She has paraplegia secondary to HTLV exposure while on vacation in the Bahamas six years ago 	[paraplegia | PROBLEM]	[HTLV exposure | PROBLEM]	After
18_TL2	 She presents for cadaveric pancreas transplantation .Admission Date : 2016-08-08 Discharge Date : 2016-08-15 Discharge Date : 2016-08-15 HISTORY OF PRESENT ILLNESS : The patient is a 37 year old lady with type 1 diabetes mellitus , who is four months postcadaveric kidney transplantation and now has good graft function .	[cadaveric pancreas transplantation | TREATMENT]	[Admission | OCCURRENCE]	After
326_TL74	 The patient was found to have expanding pulmonary infiltrates on chest x-ray , developed acute renal insufficiency with minimal urine output , less than 10 cc an hour , started on dopamine for hemodynamic instability . On 4-24 , the patient was seen again at Sondi Memorial when he experienced at home a fall , no loss of consciousness , positive substernal chest pain , pleuritic pain , shortness of breath and cough .	[dopamine | TREATMENT]	[4-24 | DATE]	After
637_TL16	 Brief Hospital Course : The patient was admitted to Nantucket Cottage Hospital on 2013-03-27 following a motor vehicle crash as described previously 	[admitted | OCCURRENCE]	[a motor vehicle crash | OCCURRENCE]	After
657_SECTIME132	 The patient is also scheduled for an appointment with Dr. Therefore , she was discharged on 2014-08-09 in good condition .	[an appointment | TREATMENT]	[2014-08-09 | DATE]	After
33_SECTIME87	 He was seen by physical therapy and will need to follow up with orthopaedics upon discharge for repeat evaluation .Admission Date : 2019-01-09 Discharge Date : 2019-01-15 Service : MEDICINE History of Present Illness : 45M w/no PMH presented to Chelseahospital after a syncopal episode on the morning of admission .	[orthopaedics | OCCURRENCE]	[2019-01-15 | DATE]	After
288_TL52	 Transfusions of platelets did not change his platelet count , presumably because of sequestration and a massive spleen . HOSPITAL COURSE : The patient was admitted to the hospital and begun on high dose Hydroxyurea , with a gradual improvement in his white blood count over the next few days .	[Transfusions of platelets | TREATMENT]	[admitted | OCCURRENCE]	After
46_TL7	 6 ) Fluids , electrolytes and nutrition : The patient had a mild increase in her BUN and creatinine during her hospitalization which promptly returned to her baseline levels with intravenous fluids .Admission Date : 12/22/2000 Discharge Date : 01/01/2001 HISTORY OF PRESENT ILLNESS : The patient is an 80 female with a history of diastolic function and heart failure , hypertension and rheumatoid arthritis who presents from an outside hospital with presyncope .	[her hospitalization | OCCURRENCE]	[12/22/2000 | DATE]	After
263_SECTIME21	 He had a bedside transthoracic echocardiogram done in the Cardiac Catheterization laboratory without evidence of an effusion .Admission Date : 2015-03-16 Discharge Date : 2015-03-19 Service : HISTORY OF PRESENT ILLNESS : HISTORY OF PRESENT ILLNESS : The patient is an 82 - year-old male with a history of hypertension , remote tobacco abuse , chronic renal insufficiency , and a history of a TIA who was in his usual state of health until five nights prior to admission when he awoke at midnight with severe epigastric pain radiating to both arms .	[the Cardiac Catheterization laboratory | CLINICAL_DEPT]	[2015-03-16 | DATE]	After
263_SECTIME5	 At the time of transfer , he was initially admitted to the CMI Service after undergoing cardiac catheterization which revealed a long LAD lesion that was angioplastied without stent placement , and a total occlusion of the RCA with collaterals .Admission Date : 2015-03-16 Discharge Date : 2015-03-19 Service : HISTORY OF PRESENT ILLNESS : HISTORY OF PRESENT ILLNESS : The patient is an 82 - year-old male with a history of hypertension , remote tobacco abuse , chronic renal insufficiency , and a history of a TIA who was in his usual state of health until five nights prior to admission when he awoke at midnight with severe epigastric pain radiating to both arms .	[the CMI Service | CLINICAL_DEPT]	[2015-03-16 | DATE]	After
113_SECTIME161	 She was admitted for a large volume paracentesis but her INR on admission was 3.Admission Date : 2015-03-26 Discharge Date : 2015-03-30 Service : MEDICINE History of Present Illness : 47 female with h/o HCV cirrhosis compocated by encephalopathy , ascites , and h/o portal vein thrombosis ( right anterior portal vein ) and portalcaval shunt ( reversed flow in main portal vein ) presents from liver clinic with increasing abdominal girth .	[a large volume paracentesis | TREATMENT]	[2015-03-26 | DATE]	After
447_SECTIME91	 FOLLOW UP CARE : On 9-28-92 , the patient will return for chemotherapy and she will follow up with her primary doctor , Dr.Admission Date : 09/07/1992 Discharge Date : 09/12/1992 HISTORY OF PRESENT ILLNESS : The patient is a 31 year old gravida 0 with stage IV endometrial cancer and stage III-C ovarian cancer vs metastatic endometrial cancer for line 2 , cycle 1 chemotherapy .	[her primary doctor | CLINICAL_DEPT]	[09/12/1992 | DATE]	After
517_Sectime53	 Medically eval not high risk surgery , preop beta blocker given .Admission Date : 2016-03-22 Discharge Date : 2016-04-04 Service : MEDICINE History of Present Illness : 75 yo F with CAD s/p MI x4 ( s/p LAD stent.	[Medically eval | TEST]	[2016-03-22 | DATE]	After
337_Sectime14	 Also , patient was started on amiodarone and digoxin was held secondary to high levels ( please restart when level less than 2 ) Diarrhea : Stool c.Admission Date : 2017-06-12 Discharge Date : 2017-06-14 Service : MEDICINE History of Present Illness : 70 y/o F w/ tracheobronchomalacia , COPD , PMR , recurrent pneumonias who was recently discharged from Hallmark Health System to Pocasset Mental Health Center 06-07 after tracheobronchoplasty / tracheostomy and pigtail catheter placement for pleural effusions .	[restart | TREATMENT]	[2017-06-14 | DATE]	After
367_TL81	 diff cultures ) , however she developed an additional rash on her buttocks after the first dose of flagyl , so the flagyl was discontinued 	[an additional rash on her buttocks | PROBLEM]	[flagyl | TREATMENT]	After
622_Sectime18	 Based upon the above results , he was transferred to the Mediplex Rehab Hospital for surgical revascularization .Admission Date : 2014-04-17 Discharge Date : 2014-04-25 Service : CARDIOTHORACIC History of Present Illness : This is a 60 year old male with new onset chest pain .	[surgical revascularization | TREATMENT]	[2014-04-17 | DATE]	After
812_TL204	 Pt was note started on ASA as she does not tolerate this well , BB was also not started given SBPs in the 110s . ECG changes - Patient had an episode of chest pain during her hospital stay that was both right and left sided with no radiation and no associated symptoms .	[ASA | TREATMENT]	[chest pain | PROBLEM]	After
196_TL13	 Autopsy permission was declined by the family . All efforts were directed to his comfort and he died on July 1 , 1992 .	[Autopsy | TEST]	[died | OCCURRENCE]	After
168_TL15	 Brief Hospital Course : Patient was admited , pain was managed with a PCA and later with PO medication 	[a PCA | TREATMENT]	[admited | OCCURRENCE]	After
712_TL89	 No further electrolytes have been measured . Electrolytes were measured on day of life 2 and were stable at that time .	[further electrolytes | TEST]	[Electrolytes | TEST]	After
276_TL75	 Subsequent discontinuance of azithromycin , trial of 5-FC , with increasing neutropenia requiring discontinuance , change if itraconazole to voriconazole , given continued neutropenia , and trial of sulfadiazine , discontinued for increasing ARS . Pentamidine , itraconazole , Levaquin , acyclovir and GCSF were discontinued , along with other medications nonessential to patient  and apos;s comfort .	[voriconazole | TREATMENT]	[itraconazole | TREATMENT]	After
